timestamp,username,role,action,status
2026-05-21 21:19:57,sunny,clinician,Open RetrievePatientWindow,success
2026-05-21 21:20:02,sunny,clinician,RetrievePatient p001,success
2026-05-21 21:20:08,sunny,clinician,RetrievePatient p001,success
2026-05-21 21:20:13,sunny,clinician,RetrievePatient p1,success
2026-05-21 21:29:07,sunny,clinician,Open CountVisitsWindow,success
2026-05-21 21:29:13,sunny,clinician,CountVisits p01 -> 2,success
2026-05-21 21:29:18,sunny,clinician,CountVisits p1 -> 2,success
2026-05-21 21:29:50,sunny,clinician,CountVisits p001 -> 2,success
2026-05-21 21:29:59,sunny,clinician,CountVisits p200 -> 2,success
2026-05-21 21:30:05,sunny,clinician,CountVisits p12 -> 7,success
2026-05-21 21:30:09,sunny,clinician,CountVisits p120 -> 2,success
2026-05-21 21:30:17,sunny,clinician,CountVisits p00120 -> 2,success
2026-05-22 10:12:11,sunny,clinician,login,success
2026-05-22 10:12:17,sunny,clinician,Exit,success
